"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Her name was SAM.rest in peace.HOPE GOD GIVES ME ONE MORE SAM",FALSE,854,NA,2012-12-18 06:43:13,FALSE,NA,"280926171577843712",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",220,FALSE,FALSE,NA,NA
"Sleep wen I sleep and get up wen I get up even if its too early or too late.my bad luck cd not even c her before she got buried.",FALSE,819,NA,2012-12-18 06:42:20,FALSE,NA,"280925949799854081",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",187,FALSE,FALSE,NA,NA
"But somehow she got really close to me.last 7 yrs I hardly spent any time with her.if I was home she won't leave even for a second.she wd",FALSE,776,NA,2012-12-18 06:37:03,FALSE,NA,"280924620331307008",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",169,FALSE,FALSE,NA,NA
"Playing cricket at jamshedpur but on the nxt off day came on my bike to ranchi just to c her.I was always busy with cricket since she came",FALSE,798,NA,2012-12-18 06:35:49,FALSE,NA,"280924311219474433",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",183,FALSE,FALSE,NA,NA
"On 7.12.12 I lost someone who was very dear to me.close to 9 yrs back wen she came I was not there, she was hardly 10 days old.I was busy",FALSE,824,NA,2012-12-18 06:33:43,FALSE,NA,"280923782733000704",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",197,FALSE,FALSE,NA,NA
"Wish you all a very happy Diwali",FALSE,1157,NA,2012-11-13 05:13:12,FALSE,NA,"268219943017926657",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","msdhoni",599,FALSE,FALSE,NA,NA
"Waiting for the West Indian team to dance",FALSE,1970,NA,2012-10-07 16:36:20,FALSE,NA,"254983509138104321",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",1848,FALSE,FALSE,NA,NA
"with Dan finishing 3rd and Florian 11th. A job well done by the entire crew and team.  Exciting new season awaits all next year",FALSE,676,NA,2012-10-07 15:25:20,FALSE,NA,"254965639008104448",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",124,FALSE,FALSE,NA,NA
"A Big Congratulations to Dan Linfoot for his incredible podium finish. Our World Super Bike team had a great end to the season",FALSE,666,NA,2012-10-07 15:25:08,FALSE,NA,"254965589628567552",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",135,FALSE,FALSE,NA,NA
"RT @sochu7: @msdhoni Dan Linfoot finishes 3rd in last race of 2012! <U+0001F44D>",FALSE,0,NA,2012-10-07 14:34:04,FALSE,NA,"254952740453752833",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",54,TRUE,FALSE,NA,NA
"@sidduslp ok then tell me which model and wat price",FALSE,220,"sidduslp",2012-09-25 07:01:52,FALSE,"250466873832009728","250490285254115330","554847568","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",53,FALSE,FALSE,NA,NA
"This could be my next car, not sure yet http://t.co/7WwBDp5j",FALSE,936,NA,2012-09-25 03:27:10,FALSE,NA,"250436253739270144",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",259,FALSE,FALSE,NA,NA
"9am practice reminds me of test matches in INDIA.To get up early v start having early mrng practice sessions.For t20 hmm only evn practice",FALSE,750,NA,2012-09-25 02:51:26,FALSE,NA,"250427259540873218",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",194,FALSE,FALSE,NA,NA
"Yesterday our racing team also did well.one of the riders finished at 7th place.am happy with the improvement in performance.well done",FALSE,780,NA,2012-09-24 06:47:40,FALSE,NA,"250124325116579840",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",262,FALSE,FALSE,NA,NA
"Off day today,hve to get out of the hotel.only been out for practice and ICC awards.let's c wat plan the guys make",FALSE,734,NA,2012-09-24 06:44:10,FALSE,NA,"250123443964628992",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",187,FALSE,FALSE,NA,NA
"Marks for sports takes back seat attendance for now takes centrestage.this shows how much importance sports has in INDIA.sad to hear",FALSE,823,NA,2012-08-30 10:44:51,FALSE,NA,"241124314890510336",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",421,FALSE,FALSE,NA,NA
"RT @ImHarini7: @msdhoni We will either find a way or make one. Nothing is either good or bad but thinking makes it so.",FALSE,0,NA,2012-08-29 15:59:30,FALSE,NA,"240841113840267265",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",123,TRUE,FALSE,NA,NA
"Fielding and the chat would always be about the team.will miss him whenever the team cuts cake, Personally I will really miss u LACHU BHAI",FALSE,899,NA,2012-08-18 15:49:22,FALSE,NA,"236852297647415297",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",434,FALSE,FALSE,NA,NA
"The whole team will miss u VVS.One of the best human being I have ever met in my life.Spent a lot of time with him while batting and",FALSE,907,NA,2012-08-18 15:46:35,FALSE,NA,"236851596368179200",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",465,FALSE,FALSE,NA,NA
"There is always next time.Sushil ur still our champion",FALSE,835,NA,2012-08-12 13:03:00,FALSE,NA,"234636101783011328",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",612,FALSE,FALSE,NA,NA
"Let's pray for Sushil tht he wins the gold and hve belief in the abilities of the champion",FALSE,696,NA,2012-08-12 12:36:45,FALSE,NA,"234629496769224705",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",316,FALSE,FALSE,NA,NA
"let's pray for Shushil tht he wins the gold and hve belief",FALSE,654,NA,2012-08-12 12:35:22,FALSE,NA,"234629147094298624",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",172,FALSE,FALSE,NA,NA
"RT @FitSoulOnline: HURRAY, Sushil wins the match 6-3 against Navruzov and takes India in the semis #wrestling #London2012 #GoIndia",FALSE,0,NA,2012-08-12 09:03:44,FALSE,NA,"234575886899347457",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",122,TRUE,FALSE,NA,NA
"@ankitgokani wish u a very happy birthday",FALSE,195,"ankitgokani",2012-08-12 07:24:22,FALSE,"234545915002773505","234550880605720576","96708911","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",27,FALSE,FALSE,NA,NA
"RT @FitSoulOnline: http://t.co/qLvwf3Xm",FALSE,0,NA,2012-08-11 08:40:37,FALSE,NA,"234207681425055744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","msdhoni",40,TRUE,FALSE,NA,NA
"http://t.co/VlTVUByA loved the video... could actually relate to a few ..... the one with the dog reminded me of zoya",FALSE,629,NA,2012-08-11 08:32:35,FALSE,NA,"234205659040718848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","msdhoni",107,FALSE,FALSE,NA,NA
"U win some u lose some, thts the beauty of any sport.hard luck VIJENDER",FALSE,797,NA,2012-08-06 21:26:26,FALSE,NA,"232588467891216384",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",374,FALSE,FALSE,NA,NA
"One more medal assured of,hope its the one v have not got so far, thanks to MARY KOM",FALSE,759,NA,2012-08-06 13:19:50,FALSE,NA,"232466010760966144",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",478,FALSE,FALSE,NA,NA
"RT @YUVSTRONG12: meri bachi richa bhatia !! This story of urs in page 3 times of india is a pointless story cause in banglore everything ...",FALSE,0,NA,2012-08-05 10:59:43,FALSE,NA,"232068361285169152",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",181,TRUE,FALSE,NA,NA
"Brought GLORY to INDIA with his SILVER medal at LONDON 2012.I SALUTE the SUBEDAR and the proud INDIAN ARMY MAN.  JWALA MATA KI JAI",FALSE,739,NA,2012-08-04 18:54:43,FALSE,NA,"231825512127942656",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",259,FALSE,FALSE,NA,NA
